"COUNTY_NUM","CASETYPE","CASEYR","CASENUM","COUNTYNAME","CASE_ID"
"01","CI",11,6558,"Douglas","CI 01 11-6558"
"01","CI",11,6559,"Douglas","CI 01 11-6559"
"01","CI",11,6561,"Douglas","CI 01 11-6561"
"01","CI",11,6562,"Douglas","CI 01 11-6562"
"01","CI",11,6564,"Douglas","CI 01 11-6564"
"01","CI",11,6565,"Douglas","CI 01 11-6565"
"01","CI",11,6566,"Douglas","CI 01 11-6566"
"01","CI",11,6567,"Douglas","CI 01 11-6567"
"01","CI",11,6569,"Douglas","CI 01 11-6569"
"01","CI",11,6606,"Douglas","CI 01 11-6606"
"01","CI",11,6607,"Douglas","CI 01 11-6607"
"01","CI",11,6608,"Douglas","CI 01 11-6608"
"01","CI",11,6605,"Douglas","CI 01 11-6605"
"01","CI",11,6654,"Douglas","CI 01 11-6654"
"01","CI",11,6664,"Douglas","CI 01 11-6664"
"01","CI",11,6665,"Douglas","CI 01 11-6665"
"01","CI",11,6666,"Douglas","CI 01 11-6666"
"01","CI",11,6667,"Douglas","CI 01 11-6667"
"01","CI",11,6668,"Douglas","CI 01 11-6668"
"01","CI",11,6669,"Douglas","CI 01 11-6669"
"01","CI",11,6670,"Douglas","CI 01 11-6670"
"01","CI",11,6671,"Douglas","CI 01 11-6671"
"01","CI",11,6672,"Douglas","CI 01 11-6672"
"01","CI",11,6673,"Douglas","CI 01 11-6673"
"01","CI",11,6674,"Douglas","CI 01 11-6674"
"01","CI",11,6675,"Douglas","CI 01 11-6675"
"01","CI",11,6676,"Douglas","CI 01 11-6676"
"01","CI",11,6793,"Douglas","CI 01 11-6793"
"01","CI",11,6846,"Douglas","CI 01 11-6846"
"01","CI",11,6866,"Douglas","CI 01 11-6866"
"01","CI",11,6867,"Douglas","CI 01 11-6867"
"01","CI",11,6885,"Douglas","CI 01 11-6885"
"01","CI",11,6886,"Douglas","CI 01 11-6886"
"01","CI",11,6887,"Douglas","CI 01 11-6887"
"01","CI",11,6888,"Douglas","CI 01 11-6888"
"01","CI",11,6901,"Douglas","CI 01 11-6901"
"01","CI",11,6902,"Douglas","CI 01 11-6902"
"01","CI",11,6903,"Douglas","CI 01 11-6903"
"01","CI",11,6904,"Douglas","CI 01 11-6904"
"01","CI",11,6961,"Douglas","CI 01 11-6961"
"01","CI",11,6905,"Douglas","CI 01 11-6905"
"01","CI",11,6906,"Douglas","CI 01 11-6906"
"01","CI",11,6907,"Douglas","CI 01 11-6907"
"01","CI",11,6912,"Douglas","CI 01 11-6912"
"01","CI",11,6964,"Douglas","CI 01 11-6964"
"01","CI",11,6981,"Douglas","CI 01 11-6981"
"01","CI",11,6983,"Douglas","CI 01 11-6983"
"01","CI",11,6984,"Douglas","CI 01 11-6984"
"01","CI",11,6985,"Douglas","CI 01 11-6985"
"01","CI",11,6986,"Douglas","CI 01 11-6986"
"01","CI",11,6987,"Douglas","CI 01 11-6987"
"01","CI",11,6988,"Douglas","CI 01 11-6988"
"01","CI",11,6989,"Douglas","CI 01 11-6989"
"01","CI",11,6990,"Douglas","CI 01 11-6990"
"01","CI",11,6991,"Douglas","CI 01 11-6991"
"01","CI",11,6992,"Douglas","CI 01 11-6992"
"01","CI",11,6993,"Douglas","CI 01 11-6993"
"01","CI",11,7014,"Douglas","CI 01 11-7014"
"01","CI",11,7053,"Douglas","CI 01 11-7053"
"01","CI",11,7054,"Douglas","CI 01 11-7054"
"01","CI",11,7055,"Douglas","CI 01 11-7055"
"01","CI",11,7056,"Douglas","CI 01 11-7056"
"01","CI",11,7057,"Douglas","CI 01 11-7057"
"01","CI",11,7058,"Douglas","CI 01 11-7058"
"01","CI",11,7059,"Douglas","CI 01 11-7059"
"01","CI",11,7060,"Douglas","CI 01 11-7060"
"01","CI",11,7061,"Douglas","CI 01 11-7061"
"01","CI",11,7066,"Douglas","CI 01 11-7066"
"01","CI",11,7067,"Douglas","CI 01 11-7067"
"01","CI",11,7084,"Douglas","CI 01 11-7084"
"01","CI",11,7115,"Douglas","CI 01 11-7115"
"01","CI",11,7116,"Douglas","CI 01 11-7116"
"01","CI",11,7117,"Douglas","CI 01 11-7117"
"01","CI",11,7118,"Douglas","CI 01 11-7118"
"01","CI",11,7119,"Douglas","CI 01 11-7119"
"01","CI",11,7120,"Douglas","CI 01 11-7120"
"01","CI",11,7121,"Douglas","CI 01 11-7121"
"01","CI",11,7124,"Douglas","CI 01 11-7124"
"01","CI",11,7127,"Douglas","CI 01 11-7127"
"01","CI",11,7132,"Douglas","CI 01 11-7132"
"01","CI",11,7133,"Douglas","CI 01 11-7133"
"01","CI",11,7134,"Douglas","CI 01 11-7134"
"01","CI",11,7135,"Douglas","CI 01 11-7135"
"01","CI",11,7142,"Douglas","CI 01 11-7142"
"01","CI",11,7148,"Douglas","CI 01 11-7148"
"01","CI",11,7150,"Douglas","CI 01 11-7150"
"01","CI",11,7214,"Douglas","CI 01 11-7214"
"01","CI",11,7231,"Douglas","CI 01 11-7231"
"01","CI",11,7232,"Douglas","CI 01 11-7232"
"01","CI",11,7233,"Douglas","CI 01 11-7233"
"01","CI",11,7234,"Douglas","CI 01 11-7234"
"01","CI",11,7235,"Douglas","CI 01 11-7235"
"01","CI",11,7236,"Douglas","CI 01 11-7236"
"01","CI",11,7237,"Douglas","CI 01 11-7237"
"01","CI",11,7238,"Douglas","CI 01 11-7238"
"01","CI",11,7239,"Douglas","CI 01 11-7239"
"01","CI",11,7240,"Douglas","CI 01 11-7240"
"01","CI",11,7230,"Douglas","CI 01 11-7230"
"01","CI",11,7241,"Douglas","CI 01 11-7241"
"01","CI",11,7306,"Douglas","CI 01 11-7306"
"01","CI",11,7343,"Douglas","CI 01 11-7343"
"01","CI",11,7344,"Douglas","CI 01 11-7344"
"01","CI",11,7371,"Douglas","CI 01 11-7371"
"01","CI",11,7372,"Douglas","CI 01 11-7372"
"01","CI",11,7374,"Douglas","CI 01 11-7374"
"01","CI",11,7378,"Douglas","CI 01 11-7378"
"01","CI",11,7380,"Douglas","CI 01 11-7380"
"01","CI",11,7382,"Douglas","CI 01 11-7382"
"01","CI",11,7390,"Douglas","CI 01 11-7390"
"01","CI",11,7391,"Douglas","CI 01 11-7391"
"01","CI",11,7392,"Douglas","CI 01 11-7392"
"01","CI",11,7393,"Douglas","CI 01 11-7393"
"01","CI",11,7394,"Douglas","CI 01 11-7394"
"01","CI",11,7395,"Douglas","CI 01 11-7395"
"01","CI",11,7399,"Douglas","CI 01 11-7399"
"01","CI",11,7509,"Douglas","CI 01 11-7509"
"01","CI",11,7510,"Douglas","CI 01 11-7510"
"01","CI",11,7511,"Douglas","CI 01 11-7511"
"01","CI",11,7512,"Douglas","CI 01 11-7512"
"01","CI",11,7513,"Douglas","CI 01 11-7513"
"01","CI",11,7514,"Douglas","CI 01 11-7514"
"01","CI",11,7515,"Douglas","CI 01 11-7515"
"01","CI",11,7516,"Douglas","CI 01 11-7516"
"01","CI",11,7452,"Douglas","CI 01 11-7452"
"01","CI",11,7453,"Douglas","CI 01 11-7453"
"01","CI",11,7456,"Douglas","CI 01 11-7456"
"01","CI",11,7457,"Douglas","CI 01 11-7457"
"01","CI",11,7458,"Douglas","CI 01 11-7458"
"01","CI",11,7459,"Douglas","CI 01 11-7459"
"01","CI",11,7502,"Douglas","CI 01 11-7502"
"01","CI",11,7506,"Douglas","CI 01 11-7506"
"01","CI",11,7507,"Douglas","CI 01 11-7507"
"01","CI",11,7528,"Douglas","CI 01 11-7528"
"01","CI",11,7529,"Douglas","CI 01 11-7529"
"01","CI",11,7530,"Douglas","CI 01 11-7530"
"01","CI",11,7531,"Douglas","CI 01 11-7531"
"01","CI",11,7532,"Douglas","CI 01 11-7532"
"01","CI",11,7533,"Douglas","CI 01 11-7533"
"01","CI",11,7534,"Douglas","CI 01 11-7534"
"01","CI",11,7535,"Douglas","CI 01 11-7535"
"01","CI",11,7536,"Douglas","CI 01 11-7536"
"01","CI",11,7537,"Douglas","CI 01 11-7537"
"01","CI",11,7538,"Douglas","CI 01 11-7538"
"01","CI",11,7539,"Douglas","CI 01 11-7539"
"01","CI",11,7543,"Douglas","CI 01 11-7543"
"01","CI",11,7544,"Douglas","CI 01 11-7544"
"01","CI",11,7545,"Douglas","CI 01 11-7545"
"01","CI",11,7546,"Douglas","CI 01 11-7546"
"01","CI",11,7547,"Douglas","CI 01 11-7547"
"01","CI",11,7548,"Douglas","CI 01 11-7548"
"01","CI",11,7549,"Douglas","CI 01 11-7549"
"01","CI",11,7550,"Douglas","CI 01 11-7550"
"01","CI",11,7551,"Douglas","CI 01 11-7551"
"01","CI",11,7552,"Douglas","CI 01 11-7552"
"01","CI",11,7553,"Douglas","CI 01 11-7553"
"01","CI",11,7554,"Douglas","CI 01 11-7554"
"01","CI",11,7555,"Douglas","CI 01 11-7555"
"01","CI",11,7556,"Douglas","CI 01 11-7556"
"01","CI",11,7557,"Douglas","CI 01 11-7557"
"01","CI",11,7558,"Douglas","CI 01 11-7558"
"01","CI",11,7559,"Douglas","CI 01 11-7559"
"01","CI",11,7560,"Douglas","CI 01 11-7560"
"01","CI",11,7562,"Douglas","CI 01 11-7562"
"01","CI",11,7563,"Douglas","CI 01 11-7563"
"01","CI",11,7566,"Douglas","CI 01 11-7566"
"01","CI",11,7657,"Douglas","CI 01 11-7657"
"01","CI",11,7674,"Douglas","CI 01 11-7674"
"01","CI",11,7675,"Douglas","CI 01 11-7675"
"01","CI",11,7676,"Douglas","CI 01 11-7676"
"01","CI",11,7677,"Douglas","CI 01 11-7677"
"01","CI",11,7678,"Douglas","CI 01 11-7678"
"01","CI",11,7679,"Douglas","CI 01 11-7679"
"01","CI",11,7680,"Douglas","CI 01 11-7680"
